rxn	MGYG000000076	MGYG000005177	MGYG000049266	MGYG000073722	MGYG000082523	MGYG000111157	MGYG000142005	MGYG000164457	MGYG000167059	MGYG000241626	MGYG000258880	MGYG000278633
EX_cpd00264_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00268_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00276_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00277_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00281_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00305_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00309_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00311_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00314_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00322_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00324_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00359_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00363_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00367_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00371_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00380_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00393_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00396_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00418_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00448_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00450_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00453_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00526_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00528_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00531_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00573_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00644_e0	0	0	0	0	1	0	0	0	0	0	1	0
EX_cpd00653_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00659_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00751_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00794_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00811_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00971_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01012_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01015_e0	1	1	0	1	1	1	1	1	1	1	1	1
EX_cpd01024_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01048_e0	0	0	0	0	1	0	0	0	0	0	0	0
EX_cpd01132_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01217_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01262_e0	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd01318_e0	1	1	1	1	1	1	1	1	1	1	1	1
