rxn	MGYG000001400	MGYG000010774	MGYG000011610	MGYG000015707	MGYG000016015	MGYG000081522	MGYG000106282	MGYG000112701	MGYG000120427	MGYG000153712	MGYG000186345	MGYG000201534	MGYG000213768	MGYG000224645	MGYG000232768	MGYG000246156	MGYG000263537	MGYG000270783
DM_cpd01042_c0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00001_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00003_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00007_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00009_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00011_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00013_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00020_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00023_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00025_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00027_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00028_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00029_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00030_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00033_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00034_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00035_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00036_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00039_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00041_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00047_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00048_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00051_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00053_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00054_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00055_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00058_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00060_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00063_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00064_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00065_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00066_e0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00067_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00069_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00071_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00073_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
EX_cpd00076_e0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
