rxn	MGYG000000074	MGYG000006284	MGYG000006869	MGYG000006906	MGYG000030607	MGYG000063312	MGYG000072808	MGYG000140008	MGYG000148481	MGYG000233340
EX_cpd00412_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00418_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00448_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00450_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00453_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00526_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00528_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00531_e0	0	0	0	1	0	0	0	1	0	0
EX_cpd00588_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00659_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00794_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00811_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd00832_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd00971_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd01012_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd01024_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd01080_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd01107_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd01113_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd01132_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd01217_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd01262_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd01618_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd01741_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd01861_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd01981_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd02733_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd02992_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd03091_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd03198_e0	0	0	0	1	0	0	0	1	1	0
EX_cpd03662_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd03846_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd03847_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd04097_e0	0	0	0	1	0	0	0	1	0	0
EX_cpd04098_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd08021_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd10515_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd10516_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd11416_c0	1	1	1	1	1	1	1	1	1	1
EX_cpd11451_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd11574_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd11606_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd11632_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd11640_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd11842_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd15237_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd15269_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd15298_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd17026_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd17027_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd21520_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd23430_e0	0	0	0	1	0	0	1	1	0	0
EX_cpd23431_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd90003_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd90004_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd90005_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd90006_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd90007_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd90008_e0	1	1	1	1	1	1	1	1	1	1
EX_cpd90017_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd90020_e0	1	0	1	1	1	1	1	1	1	1
EX_cpd90022_e0	0	0	1	1	1	1	1	0	0	0
bio1	1	1	1	1	1	1	1	1	1	1
rxn00001_c0	0	1	0	0	0	0	0	0	0	0
rxn00003_c0	1	0	1	1	1	1	1	1	1	1
rxn00006_c0	1	1	1	1	1	1	1	1	1	1
rxn00007_c0	0	0	0	1	0	0	0	1	0	0
rxn00010_c0	1	0	1	1	1	1	1	1	1	1
rxn00011_c0	1	0	1	1	1	1	1	1	1	1
rxn00016_c0	1	1	1	1	1	1	1	1	1	1
rxn00020_c0	1	0	1	1	1	1	1	1	1	1
rxn00022_c0	0	0	0	0	0	0	0	0	1	0
rxn00029_c0	1	1	1	1	1	1	1	1	1	1
rxn00060_c0	1	1	1	1	1	1	1	1	1	1
rxn00062_c0	1	1	1	1	1	1	1	1	1	1
rxn00068_c0	1	1	1	1	1	1	1	1	1	0
rxn00070_c0	1	0	1	1	1	1	1	1	1	1
rxn00076_c0	1	1	1	1	1	1	1	1	1	1
rxn00077_c0	1	0	1	1	1	1	1	1	1	1
rxn00086_c0	1	0	1	1	1	1	1	1	1	1
rxn00088_c0	1	1	1	1	1	1	1	1	1	1
rxn00097_c0	1	1	1	1	1	1	1	1	1	1
rxn00100_c0	1	1	1	1	1	1	1	1	1	1
rxn00102_c0	0	0	0	0	0	0	1	0	0	0
rxn00113_c0	1	0	1	1	1	1	1	1	1	1
rxn00114_c0	0	1	0	0	0	0	0	0	0	0
rxn00119_c0	1	1	1	1	1	1	1	1	1	1
rxn00121_c0	1	1	1	1	1	1	1	1	1	1
rxn00122_c0	1	1	1	1	1	1	1	1	1	1
rxn00126_c0	1	1	1	1	1	1	1	1	1	1
rxn00132_c0	1	1	1	1	1	1	1	1	1	1
rxn00134_c0	1	1	1	1	1	1	1	1	1	1
rxn00137_c0	1	1	1	1	1	1	1	1	1	1
rxn00138_c0	1	1	1	1	1	1	1	1	1	1
rxn00141_c0	1	1	1	1	1	1	1	1	1	1
rxn00147_c0	1	0	1	1	1	1	1	1	1	1
rxn00148_c0	1	1	1	1	1	1	1	1	1	1
rxn00154_c0	1	1	1	1	1	1	1	1	1	1
rxn00157_c0	1	1	1	1	0	1	1	1	1	1
rxn00159_c0	1	1	1	1	1	1	1	1	1	1
rxn00161_c0	1	1	1	1	1	1	1	1	1	1
rxn00162_c0	1	1	1	1	1	1	1	1	1	1
rxn00165_c0	1	0	1	1	1	1	1	1	1	1
rxn00173_c0	0	1	0	0	0	0	0	0	0	0
rxn00174_c0	1	1	1	1	1	1	1	1	1	1
rxn00175_c0	1	0	1	1	1	0	1	1	1	1
rxn00176_c0	1	0	1	1	1	0	1	1	1	1
rxn00179_c0	1	1	1	1	1	1	1	1	1	1
rxn00181_c0	1	1	1	1	0	1	0	1	1	1
rxn00182_c0	1	0	1	1	1	1	1	1	1	1
